AnimalName,NameCount
POLLY,32
RUPERT,32
RUSSELL,32
SOFIE,32
STEWIE,32
TIGGER,32
WILLY,32
ZEKE,32
ALBERT,31
AURORA,31
CALVIN,31
COMET,31
DORA,31
GABBY,31
HACHI,31
JADA,31
JAMESON,31
JOHNNY,31
LANA,31
LUIGI,31
MAUI,31
MISHA,31
MONKEY,31
NOODLE,31
PETER,31
PIPPIN,31
POOKIE,31
ROSCO,31
RYDER,31
TOBI,31
WALLACE,31
ALLIE,30
APPLE,30
BAGEL,30
BETSY,30
COFFEE,30
DJANGO,30
FRANCES,30
GRIFFIN,30
HOMER,30
JAMES,30
JERSEY,30
JJ,30
LAIKA,30
MUNCHKIN,30
OSO,30
PHOENIX,30
RIVER,30
ROGER,30
TARA,30
ANNABELLE,29
ATLAS,29
BENSON,29
BUCKY,29
BUTTER,29
ECHO,29
ICE,29
INDIANA,29
LULA,29
MANNY,29
MISO,29
OBI,29
OPIE,29
REILLY,29
SARAH,29
SNOWFLAKE,29
ZORRO,29
,28
ASHLEY,28
AUGUST,28
BEAUTY,28
COTTON,28
DANNY,28
DJ,28
KHALEESI,28
LILI,28
LYLA,28
MEATBALL,28
MILLY,28
NIKKO,28
POOCHIE,28
SAMPSON,28
SPARKLE,28
TERRY,28
TESSA,28
TROY,28
WRIGLEY,28
ANGUS,27
ASH,27
ASPEN,27
AUGIE,27
BESSIE,27
CHERRY,27
CHI,27
CHUCK,27
CLEOPATRA,27
DARCY,27
EDIE,27
FENDI,27
GUNNER,27
INDY,27
JANE,27
KEVIN,27
MADDY,27
NOODLES,27
NYLA,27
OAKLEY,27
PEPSI,27
QUEEN,27
QUEENIE,27
BLEU,26
BOOTS,26
BORIS,26
BUDDHA,26
CHICA,26
HALO,26
IRIS,26
JET,26
LEAH,26
LEONARDO,26
LIBBY,26
MARY,26
MEEKO,26
MERLIN,26
MICHAEL,26
MINDY,26
MOLLIE,26
NELLY,26
PATRICK,26
PERLA,26
PIP,26
PUFFY,26
SPARTACUS,26
SUZIE,26
SWEETIE,26
TANGO,26
THUNDER,26
WILLA,26
AJAX,25
BLAKE,25
BLANCA,25
BLONDIE,25
BUTCH,25
CAPONE,25
CUDDLES,25
FIFI,25
FREYA,25
GIDGET,25
GINNY,25
GRETA,25
HAILEY,25
HARLEM,25
JELLY,25
LARRY,25
LIL,25
LOLITA,25
LOUISE,25
LUKA,25
MAVERICK,25
MISHKA,25
MOE,25
NELSON,25
PIERRE,25
SKIPPER,25
SUZY,25
THOMAS,25
TROOPER,25
ALLY,24
ANGIE,24
AUDREY,24
AUGUSTUS,24
AUTUMN,24
BARLEY,24
CHICHI,24
CHINA,24
CJ,24
CLARK,24
CORA,24
DULCE,24
FLOYD,24
FROSTY,24
JAVA,24
KILO,24
KINGSTON,24
NEO,24
PEYTON,24
PUG,24
RALPHIE,24
REBEL,24
REY,24
SARA,24
TAYLOR,24
ABBEY,23
ARIEL,23
BACON,23
CESAR,23
CHUCKY,23
DARWIN,23
DESTINY,23
EEVEE,23
JOHN,23
KARMA,23
LEE,23
LEXINGTON,23
NANA,23
OWEN,23
PORTER,23
REESE,23
SWEET,23
TASHA,23
VENUS,23
WILEY,23
ZACK,23
ZARA,23
BATMAN,22
BINGO,22
BOSTON,22
BRONX,22
BUGSY,22
CAIRO,22
CARAMEL,22
CARLY,22
CASHEW,22
CLARA,22
DEWEY,22
DOC,22
DORY,22
FINLEY,22
GRIZZLY,22
HENDRIX,22
INDIE,22
JOE,22
JUICY,22
KAISER,22
KAYA,22
KOBI,22
KODI,22
LIZZIE,22
LIZZY,22
MAMA,22
MARVIN,22
MOBY,22
MUNECA,22
NASH,22
NIGEL,22
NORA,22
PERRY,22
POM,22
ROONEY,22
SCARLET,22
SNUGGLES,22
TED,22
TESS,22
TOFU,22
TREVOR,22
WESLEY,22
WYATT,22
ALI,21
ARCHER,21
BEANS,21
BISHOP,21
BLACKY,21
BODIE,21
BOLT,21
BROOKE,21
CHARLY,21
CROSBY,21
DARBY,21
DEE,21
DUFFY,21
FRECKLES,21
HUMPHREY,21
KODY,21
KYLIE,21
LEON,21
LIBERTY,21
LUCILLE,21
MACY,21
MARSHALL,21
MOWGLI,21
NOEL,21
OPHELIA,21
PELUCHE,21
POPCORN,21
PORKCHOP,21
RAMONA,21
REMINGTON,21
RODRIGUEZ,21
ROXANNE,21
SABLE,21
SAMMI,21
SAPPHIRE,21
SOOKIE,21
TIKI,21
TRUFFLE,21
TRUMAN,21
VALENTINA,21
VITO,21
WENDY,21
AKIRA,20
ALEXANDER,20
ALVIN,20
ARTEMIS,20
AVERY,20
BALTO,20
BARON,20
BECKY,20
BOOBOO,20
BOY,20
BRODIE,20
BULLET,20
BUZZ,20
CARL,20
CECE,20
COLBY,20
CRYSTAL,20
CUTIE,20
FLORA,20
HENNESSY,20
HERO,20
IKE,20
JAMIE,20
JULIUS,20
JUNIPER,20
KATO,20
LASSIE,20
LATTE,20
LILLIE,20
MARCUS,20
MARGOT,20
MEMPHIS,20
NENE,20
PAISLEY,20
PIXEL,20
PUCK,20
ROBIN,20
SEVEN,20
SHANE,20
SHERMAN,20
SHORTY,20
SNOOP,20
TAFFY,20
TBD,20
TUX,20
VICTORIA,20
WOLFIE,20
XIAO,20
ZOLA,20
ADDIE,19
AGNES,19
AMELIA,19
ANNA,19
ARROW,19
BIJOU,19
BLACK,19
BLIZZARD,19
CALEB,19
CHAI,19
CHAMPION,19
CHOPPER,19
DODGER,19
GARY,19
GINA,19
HAMLET,19
HENRI,19
HIRO,19
JULIET,19
JUPITER,19
KENNY,19
KIKO,19
KOBY,19
LEROY,19
LEX,19
LEXUS,19
MAVIS,19
MOSES,19
NATASHA,19
NICK,19
PEGGY,19
PEREZ,19
REESES,19
RIGBY,19
ROBBIE,19
SAMUEL,19
TILLY,19
TINO,19
TJ,19
TOBIAS,19
TOM,19
TRAVIS,19
TURBO,19
ZENA,19
AJ,18
ARI,18
BALOO,18
BARRY,18
BIG,18
BLOSSOM,18
BRANDO,18
BRONSON,18
BROWNY,18
BRUISER,18
BULLY,18
CANNOLI,18
CYRUS,18
ELIZABETH,18
ELSIE,18
FLYNN,18
FOX,18
HARRISON,18
HENNY,18
JETT,18
KC,18
KIMCHI,18
MAMBO,18
MARTIN,18
NICHOLAS,18
NIKE,18
RAY,18
RUTHIE,18
SABRINA,18
SAWYER,18
SIDNEY,18
SIRIUS,18
TATER,18
TORI,18
TWINKIE,18
WEDNESDAY,18
YANKEE,18
YOYO,18
ARMANI,17
AUGGIE,17
BEANIE,17
BEETHOVEN,17
CHILI,17
CICI,17
CLIFFORD,17
DIDI,17
DIOR,17
DOUG,17
EARL,17
EMMIE,17
FRANCIS,17
GORDON,17
GOTTI,17
GRAHAM,17
GRAYSON,17
GUNTHER,17
HERBIE,17
HOBBES,17
HUCKLEBERRY,17
IVORY,17
JUDY,17
KAYLEE,17
KITTY,17
KOA,17
LEELA,17
LINK,17
LUCIA,17
MIKO,17
MINA,17
MONTE,17
MORTY,17
NINJA,17
NORI,17
PAULIE,17
PEACH,17
PINTO,17
PIPPI,17
PJ,17
POTATO,17
PRESLEY,17
PRISCILLA,17
ROSA,17
ROXI,17
SHAYNA,17
SIENNA,17
SKITTLES,17
STORMY,17
SULLY,17
TESLA,17
TOBEY,17
VALENTINE,17
WILBUR,17
WOLFGANG,17
ABBIE,16
ARES,16
BABE,16
BANE,16
BARNABY,16
BRADLEY,16
BUCKLEY,16
CASSIDY,16
CHANDLER,16
CONAN,16
DAX,16
DIZZY,16
FOSTER,16
GAMBIT,16
GORDO,16
HALEY,16
INDIA,16
ISABELLE,16
JAGGER,16
JEFFREY,16
JO,16
KEIKO,16
KLAUS,16
LEELOO,16
LORENZO,16
LUCIE,16
LUPE,16
MAIA,16
MARIO,16
MIKE,16
MILTON,16
MITZI,16
MONEY,16
MONSTER,16
NATHAN,16
NERO,16
OPAL,16
ORION,16
PAIGE,16
PANDORA,16
PATTY,16
PIA,16
RITA,16
RIVERA,16
RYAN,16
SAINT,16
SCOTTIE,16
SHAY,16
SKYLER,16
SPEEDY,16
STERLING,16
TANNER,16
TERRA,16
VANILLA,16
WILLIAM,16
WILMA,16
ASIA,15
BAMBAM,15
BARBIE,15
BEATRICE,15
BENNETT,15
BOBA,15
BOGART,15
BOSS,15
BREWSTER,15
BUCK,15
BUTTON,15
CARMELO,15
CHARLI,15
CHIEF,15
DOUGIE,15
DUNKIN,15
FITZ,15
GIO,15
HANA,15
HARLOW,15
JONES,15
JUJU,15
KENJI,15
LEMON,15
LENA,15
LIAM,15
LOPEZ,15
LORD,15
MARCEL,15
MARS,15
MARSHMALLOW,15
MAY,15
MEI,15
MELODY,15
MICKY,15
MJ,15
NEWTON,15
NIA,15
PATCH,15
PICO,15
PRADA,15
PUDDING,15
RADAR,15
SCOTT,15
SCOTTY,15
SEYMOUR,15
SHANTI,15
SHELLY,15
SHIRO,15
SILVER,15
TITUS,15
TOFFEE,15
TWIX,15
WAFFLE,15
ZERO,15
ALFRED,14
ARIA,14
ARTIE,14
ASHER,14
BECKHAM,14
BOWSER,14
CARA,14
CHEECH,14
CHINO,14
CHULO,14
COLE,14
DESI,14
DONNA,14
DUBLIN,14
EBONY,14
EGYPT,14
ELLE,14
FIGARO,14
FOZZIE,14
FRENCHIE,14
GREY,14
GWEN,14
HANS,14
HERA,14
HUCK,14
HUEY,14
JUSTIN,14
KAIA,14
KENZO,14
LEONIDAS,14
LEXY,14
LIA,14
LISA,14
LIZA,14
LUCCA,14
LUKAS,14
MADELINE,14
MAXIMO,14
MIRACLE,14
MYLES,14
NATALIE,14
NIKITA,14
OLAF,14
OSKAR,14
PEDRO,14
PICASSO,14
PRESTON,14
PRETTY,14
PRINCETON,14
PUCCI,14
PUFF,14
PUMA,14
RICHIE,14
ROGUE,14
RONNIE,14
RUE,14
SARGE,14
SHIBA,14
SHIRLEY,14
TEQUILA,14
TIA,14
TIMBER,14
TOAST,14
TRINITY,14
WHISKY,14
ZACHARY,14
ZOOEY,14
ZUZU,14
ANTHONY,13
ANUBIS,13
ARNOLD,13
BANKS,13
BART,13
BERTIE,13
BOONE,13
BRIE,13
BROOKS,13
CANELO,13
CHAPO,13
CHAUNCEY,13
CISCO,13
CLOUD,13
CORKY,13
CUJO,13
CUPID,13
DENIM,13
DEREK,13
DOUGLAS,13
DR.,13
DUDE,13
ELLIOT,13
ELLY,13
ERNEST,13
EVE,13
FIDO,13
FRANKY,13
FRANNIE,13
FRIDAY,13
GIBSON,13
GUY,13
HOWIE,13
HUXLEY,13
JAXSON,13
JESSICA,13
JEZEBEL,13
JUDE,13
JULIETTE,13
KARA,13
KASEY,13
KATE,13
LACY,13
LEA,13
LEOPOLD,13
LEYLA,13
LUCI,13
MAGNOLIA,13
MASSIMO,13
MELLO,13
MILAN,13
MILKY,13
MOZART,13
NEWMAN,13
NIKA,13
NONE,13
OMAR,13
OSITO,13
PAX,13
PEPPA,13
PHINEAS,13
PRIMO,13
PUDGE,13
RAISIN,13
REINA,13
REYES,13
RIZZO,13
RUFFLES,13
SHAKIRA,13
SHELDON,13
TEX,13
TONKA,13
TORO,13
TRUFFLES,13
TUFFY,13
UNI,13
WALKER,13
WEBSTER,13
ZION,13
ZSA,13
ALABAMA,12
ALBIE,12
ALPHA,12
ARGOS,12
ARIES,12
ARNIE,12
BELA,12
BJ,12
BOOKER,12
BRINKLEY,12
BROWN,12
CANELA,12
CHESTNUT,12
CHURRO,12
CLAIRE,12
CODA,12
COLA,12
DEACON,12
DEAN,12
DEUCE,12
DONUT,12
ELMO,12
ESME,12
FANCY,12
FERGIE,12
FERGUS,12
FRANNY,12
GRADY,12
GRETCHEN,12
HATTIE,12
HELEN,12
JACQUES,12
JINX,12
JOHNSON,12
JULES,12
JUSTICE,12
KASPER,12
LYRA,12
MACKENZIE,12
MAEBY,12
MAGNUS,12
MARLOWE,12
MAZIE,12
MIRANDA,12
MO,12
MONROE,12
NAOMI,12
NITRO,12
OCEAN,12
PAM,12
PATSY,12
PAUL,12
PICCOLO,12
POSEY,12
PUDDLES,12
PUGSLEY,12
RALEIGH,12
RANDY,12
REAGAN,12
REUBEN,12
ROVER,12
ROWAN,12
ROYAL,12
RUGBY,12
RYE,12
SHAMROCK,12
SHEEBA,12
SOLO,12
SONIC,12
SPRINKLES,12
STEVE,12
TAMMY,12
TASHI,12
TEDDIE,12
TUCK,12
TWIGGY,12
UNO,12
VADER,12
VERA,12
WICKET,12
XANDER,12
ZADIE,12
ZURI,12
AMOS,11
ANAKIN,11
ANGELO,11
BB,11
BENNIE,11
BERT,11
BINKY,11
BITSY,11
BLITZ,11
BONES,11
BONITA,11
BRIAN,11
CAMPBELL,11
CHA,11
CHACHI,11
CHAOS,11
CHEYENNE,11
CHRISSY,11
CHUBBY,11
CONNOR,11
CURLY,11
DEMPSEY,11
DOLLAR,11
DOODLE,11
DOT,11
DRAKE,11
DREAM,11
DUCKY,11
EDGAR,11
ELMER,11
EMME,11
FARRAH,11
FLETCHER,11
FONZIE,11
GABRIEL,11
GABRIELLE,11
GARCIA,11
GERTIE,11
GERTRUDE,11
GIOVANNI,11
GISELLE,11
GOLDEN,11
GOOFY,11
GUAPO,11
HAZE,11
HERMAN,11
HOGAN,11
HOUSTON,11
INDIGO,11
IZZIE,11
JAXX,11
JEFF,11
JEFFERSON,11
JENNA,11
JEWEL,11
JINGLES,11
JOLENE,11
JR,11
KENNEDY,11
KIARA,11
KILLER,11
KIM,11
KIMBA,11
KINGSLEY,11
KNOX,11
KNUCKLES,11
KUSH,11
LILAH,11
LLOYD,11
LUDWIG,11
MALCOLM,11
MARTHA,11
MASHA,11
MATTIE,11
MEL,11
MICK,11
MS.,11
MUSHU,11
MYRTLE,11
OSLO,11
PADDINGTON,11
PALOMA,11
PHANTOM,11
PHARAOH,11
PINOT,11
POOH,11
PRETZEL,11
PRINCESSA,11
REBA,11
ROLLO,11
ROSY,11
ROY,11
RUTH,11
RYLEE,11
SAILOR,11
SANSA,11
SANTINO,11
SESAME,11
SHEENA,11
SHEILA,11
SIERRA,11
SIMONE,11
SKIP,11
SNOOKIE,11
SOX,11
SPARKLES,11
SPIRIT,11
SPROUT,11
STARR,11
SULLIVAN,11
SUNDAE,11
SUNDAY,11
SWEETPEA,11
TABITHA,11
TARZAN,11
TATE,11
TOBBY,11
TRIGGER,11
TRISTAN,11
TRUDY,11
TULIP,11
TYRION,11
UMA,11
WILL,11
WOOKIE,11
ZIPPY,11
AKI,10
ALASKA,10
ANASTASIA,10
ASTRID,10
BEA,10
BENTLY,10
BERTHA,10
BILL,10
BINDI,10
BOOGIE,10
BRANDON,10
BRISCOE,10
BROCK,10
BROOK,10
CAMILA,10
CANDI,10
CARMINE,10
CAVALIER,10
CEASER,10
CHAPLIN,10
CHARLEE,10
CHOLE,10
CHULA,10
CHYNA,10
CLANCY,10
DANIEL,10
DELLA,10
DIDDY,10
DON,10
DORI,10
EDDY,10
EDISON,10
EDWARD,10
EL,10
ELIZA,10
ETHEL,10
FAYE,10
FERN,10
FERNANDO,10
FORREST,10
FREDO,10
FREYJA,10
FUDGE,10
GOLIATH,10
GONZALEZ,10
GROVER,10
HECTOR,10
HOUDINI,10
JILL,10
JONI,10
KISSES,10
KIT,10
KITA,10
KONG,10
KORA,10
KYLE,10
LANCE,10
LEGEND,10
LOTTIE,10
LOVELY,10
LU,10
LUX,10
MAE,10
MARK,10
MARLON,10
MATEO,10
MAURICE,10
MAXIMILIAN,10
MONTANA,10
MOON,10
MUFASA,10
NANI,10
NANO,10
NEGRITA,10
NEKO,10
NUTELLA,10
NYMERIA,10
ODYSSEUS,10
PAPA,10
PEEWEE,10
PEPI,10
PEPPY,10
PHIL,10
PINA,10
POPEYE,10
PORK,10
PROMISE,10
Q,10
RAINBOW,10
RIGGINS,10
ROCKIE,10
ROSEBUD,10
ROSEY,10
ROSITA,10
ROWDY,10
SAKI,10
SALSA,10
SERENA,10
SHIH,10
SHYLA,10
SOSA,10
SPIKEY,10
SPOCK,10
SPOTTY,10
SPUNKY,10
SQUIRT,10
SYLVIE,10
TAZZ,10
TILLIE,10
TIMOTHY,10
TIPPY,10
TORRES,10
TOSCA,10
TRACY,10
TRINA,10
TUG,10
VICTOR,10
VINCENT,10
VIVIAN,10
WHITEY,10
WYLIE,10
ZANE,10
ZORA,10
ABU,9
AGGIE,9
AIKO,9
AMANDA,9
ANDREW,9
ANGELA,9
APACHE,9
AUSSIE,9
BAKER,9
BANKSY,9
BAYLEE,9
BEAST,9
BEATRIX,9
BEBA,9
BEBO,9
BECCA,9
BELL,9
BENZ,9
BLANCHE,9
BOGEY,9
BORI,9
BOURBON,9
BREEZY,9
BRIDGET,9
BUD,9
BUG,9
BUTTERSCOTCH,9
CAPO,9
CARAMELO,9
CARLITO,9
CARLO,9
CARMEN,9
CEASAR,9
CHE,9
CHI-WEENIE,9
CHIQUI,9
CHRISTOPHER,9
CHUCHI,9
CLARENCE,9
CLIO,9
COACH,9
CONNIE,9
CUBBY,9
CURTIS,9
DANA,9
DANGER,9
DAVE,9
DAVID,9
DEEDEE,9
DEMI,9
DENVER,9
DESMOND,9
DICE,9
DILLON,9
DISCO,9
DOTTY,9
EMILIO,9
ETTA,9
EZRA,9
FUJI,9
GASTON,9
GIUSEPPE,9
GLORIA,9
GOUDA,9
HAKU,9
HARRIET,9
HAYLEY,9
HENRIK,9
HERNANDEZ,9
HUSKY,9
HUTCH,9
ISABEL,9
JASON,9
JAVIER,9
JAZMINE,9
JEDI,9
JETHRO,9
JIN,9
JINGLE,9
JOSEPHINE,9
JOSH,9
JULIA,9
KAYCEE,9
KIKA,9
KIMI,9
KIPPER,9
KODAK,9
KOOKIE,9
KORRA,9
KRYPTO,9
LADYBIRD,9
LAURA,9
LENOX,9
LOVE,9
LOVEY,9
LUA,9
LUFFY,9
MANOLO,9
MARBLES,9
MARCY,9
MARIA,9
MARTINEZ,9
MATTHEW,9
MAXIMILLIAN,9
MEADOW,9
MEEKA,9
MEMO,9
MERCEDES,9
MESSI,9
MICA,9
MINERVA,9
MOCA,9
MOKA,9
MOO,9
MUPPET,9
NANCY,9
NED,9
NUNU,9
NUTMEG,9
NYX,9
OBIE,9
OONA,9
PADDY,9
PANCAKE,9
PASHA,9
PECAN,9
PELUSA,9
PEPITO,9
PEPPERMINT,9
PETRA,9
PHIFE,9
PHILLY,9
POPO,9
RAMSEY,9
RENO,9
ROCK,9
ROLLIE,9
ROOSEVELT,9
ROYCE,9
RUMI,9
SACHA,9
SAKE,9
SALTY,9
SID,9
SIENA,9
SILAS,9
SINATRA,9
SLIM,9
SNACKS,9
SPARKIE,9
SPICE,9
SPUD,9
STARBUCK,9
TARO,9
TEDDI,9
TESSIE,9
THE,9
THUMPER,9
